id,verbo
1758,quemarse
1759,querer
1760,quitar
1761,quitarse
1762,rabiar
1763,racionar
1764,radiar
1765,rajar
1766,rallar
1767,rapar
1768,raptar
1769,rascar
1770,rasguear
1771,rasguñar
1772,raspar
1773,rastrillar
1774,rasurar
1775,rayar
1776,razonar
1777,reabrir
1778,reaccionar
1779,reafirmar
1780,realizar
1781,reanimar
1782,reanudar
1783,rebajar
1784,rebatir
1785,rebobinar
1786,rebosar
1787,rebotar
1788,rebuznar
1789,recapitular
1790,recaudar
1791,recetar
1792,rechazar
1793,recibir
1794,reciclar
1795,recitar
1796,reclamar
1797,reclinar
1798,recluir
1799,reclutar
1800,recobrar
1801,recoger
1802,recomendar
1803,recompensar
1804,reconciliar
1805,reconocer
1806,reconquistar
1807,reconsiderar
1808,recopilar
1809,recordar
1810,recorrer
1811,recortar
1812,recrear
1813,recriminar
1814,recubrir
1815,recuperar
1816,redactar
1817,redimir
1818,redondear
1819,reducir
1820,reembolsar
1821,reemplazar
1822,referir
1823,refinar
1824,reflejar
1825,reflexionar
1826,reformar
1827,reforzar
1828,refractar
1829,refrendar
1830,refrigerar
1831,refugiar
1832,refutar
1833,regalar
1834,regar
1835,regañar
1836,regenerar
1837,regir
1838,registrar
1839,regresar
1840,regular
1841,rehabilitar
1842,reinar
1843,reincidir
1844,reincorporar
1845,reinstalar
1846,reiterar
1847,relacionar
1848,relajar
1849,relajarse
1850,relatar
1851,relinchar
1852,rellenar
1853,relumbrar
1854,remachar
1855,remar
1856,remedar
1857,remediar
1858,remitir
1859,remojar
1860,remontar
1861,remunerar
1862,rendir
1863,renquear
1864,rentar
1865,renunciar
1866,reparar
1867,repartir
1868,repasar
1869,repeler
1870,repercutir
1871,repetir
1872,reponer
1873,reposar
1874,repostar
1875,reprender
1876,representar
1877,reprimir
1878,reprochar
1879,repudiar
1880,repugnar
1881,repujar
1882,rescatar
1883,reservar
1884,residir
1885,resignar
1886,resistir
1887,respetar
1888,respirar
1889,responder
1890,reunir
1891,reír
1892,reñir
1893,robar
1894,rodar
1895,romper
1896,roncar
1897,rebelar
1898,reconstruir
1899,recostar
1900,recurrir
1901,regatear
1902,rehusar
1903,remover
1904,renombrar
1905,renovar
1906,replicar
1907,reproducir
1908,requerir
1909,requisar
1910,resbalar
1911,rescindir
1912,resfriar
1913,resolver
1914,resonar
1915,resquebrajar
1916,restallar
1917,restar
1918,restaurar
1919,restringir
1920,resucitar
1921,resultar
1922,resumir
1923,retardar
1924,retener
1925,retirar
1926,retirarse
1927,retornar
1928,retrasar
1929,retratar
1930,retroceder
1931,reunirse
1932,revelar
1933,revender
1934,reverberar
1935,reverenciar
1936,revisar
1937,revistar
1938,revivir
1939,revolucionar
1940,revolver
1941,rezar
1942,ribetear
1943,rimar
1944,rodear
1945,roer
1946,rogar
1947,romperse
1948,rondar
1949,rotar
1950,rumiar
1951,saber
1952,saborear
1953,sabotear
1954,sacar
1955,saciar
1956,sacrificar
1957,sacudir
